ders	ünite_adı	konu_adı	soru_metni	a	b	c	d	e	dogru	açıklama	zorluk
Tarih	Saray ve Şehir Kültürü	Gelenekler Işığında Devlet İdaresi	Fatih Sultan Mehmet'in merkezi otoriteyi güçlendirmek amacıyla hazırlattığı hukuk düzenlemelerine ne ad verilir?	Ferman	Kanunname	Menşur	Adaletname	Fetva	b	Fatih Kanunnamesi, devlet teşkilatını ve bazı yönetim ilkelerini düzenleyen önemli bir hukuk metnidir.	kolay
Tarih	Saray ve Şehir Kültürü	Gelenekler Işığında Devlet İdaresi	I. Ahmet döneminde kabul edilen, hanedanın en yaşlı üyesinin tahta geçmesini esas alan sistem aşağıdakilerden hangisidir?	Pençik	Devşirme	Ekber ve Erşed	Tımar	Müsadere	c	Ekber ve Erşed Sistemi, taht kavgalarını azaltmak amacıyla hanedanın en yaşlı üyesinin padişah olmasını öngörmüştür.	kolay
Tarih	Saray ve Şehir Kültürü	Gelenekler Işığında Devlet İdaresi	Ekber ve Erşed Sistemi'nin uygulanmaya başlamasıyla aşağıdakilerden hangisi yaygınlaşmıştır?	Şehzadelerin sancağa çıkması	Kafes usulü	İkili teşkilat	Tımar sistemi	Devşirme uygulaması	b	Şehzadelerin sancağa çıkma uygulaması kaldırılmış, bunun yerine kafes usulü yaygınlaşmıştır.	orta
Tarih	Millet Sistemi	Osmanlı Millet Sistemi	Osmanlı Devleti'nde millet sistemi temel olarak hangi ölçüte göre oluşturulmuştur?	Etnik köken	Dil	Coğrafi bölge	Din ve mezhep	Meslek grubu	d	Osmanlı millet sistemi etnik kökene değil, din ve mezhep esasına dayanıyordu.	kolay
Tarih	Millet Sistemi	Osmanlı Millet Sistemi	Millet sistemi kapsamında gayrimüslim topluluklara tanınan haklardan biri aşağıdakilerden hangisidir?	Kendi dinî ve eğitim işlerini yürütme	Devletin başına geçme	Askerlikten tamamen bağımsız devlet kurma	Miri toprakları mülk edinme	Padişah seçme	a	Gayrimüslimler kendi dinî, hukuki ve eğitim işlerinde belirli ölçüde serbest bırakılmıştır.	orta
Tarih	Millet Sistemi	Osmanlı Millet Sistemi	Gayrimüslimlerden askerlik hizmeti karşılığı alınan vergi aşağıdakilerden hangisidir?	Aşar	Cizye	Öşür	Avârız	Haraç	b	Cizye, Osmanlı Devleti'nde gayrimüslim erkeklerden alınan baş vergisidir.	kolay
Tarih	Toprak Sistemi ve Lonca	Osmanlı Toprak Sistemi	Osmanlı Devleti'nde mülkiyeti devlete ait olan topraklara ne ad verilir?	Mülk	Vakıf	Miri	Mukataa	Arpalık	c	Miri arazi, mülkiyeti devlete ait olan Osmanlı topraklarıdır.	kolay
Tarih	Toprak Sistemi ve Lonca	Osmanlı Toprak Sistemi	Miri arazilerin gelirine göre has, zeamet ve tımar şeklinde ayrılması aşağıdaki sistemlerden hangisiyle ilgilidir?	Millet sistemi	Dirlik sistemi	Devşirme sistemi	Lonca sistemi	Malikâne sistemi	b	Dirlik sistemi, devlet arazilerinin gelirlerinin has, zeamet ve tımar olarak dağıtılmasına dayanır.	orta
Tarih	Toprak Sistemi ve Lonca	Osmanlı Toprak Sistemi	Aşağıdakilerden hangisi Osmanlı Devleti'ndeki temel toprak türlerinden biridir?	Feodal arazi	Miri arazi	Sömürge arazisi	Senyör arazisi	Manor sistemi	b	Osmanlı toprak sistemi miri, mülk ve vakıf arazileri olmak üzere temel sınıflara ayrılırdı.	kolay
Tarih	Toprak Sistemi ve Lonca	Lonca Teşkilatı ve Narh	Osmanlı Devleti'nde esnaf ve zanaatkârların meslek düzenini sağlayan teşkilat aşağıdakilerden hangisidir?	Enderun	Lonca	Divan-ı Hümayun	Medrese	Tımar	b	Lonca teşkilatı esnaf ve zanaatkârların üretim, kalite ve meslek düzenini sağlayan örgüttür.	kolay
Tarih	Toprak Sistemi ve Lonca	Lonca Teşkilatı ve Narh	Temel ihtiyaç maddelerinin fiyatlarının devlet tarafından denetlenmesine ne ad verilir?	Gedik	Narh	Müsadere	İltizam	İstimâlet	b	Narh uygulamasıyla temel ihtiyaç maddelerinin en yüksek ve en düşük satış fiyatları devlet tarafından belirlenirdi.	kolay
Tarih	Toprak Sistemi ve Lonca	Lonca Teşkilatı ve Narh	Osmanlı Devleti'nde bir mesleği yapma hakkını düzenleyen uygulama aşağıdakilerden hangisidir?	Gedik	Cizye	Mukataa	Cülus	Müsadere	a	Gedik sistemi, bir iş veya mesleği yapma hakkının düzenlenmesine dayanırdı.	orta
Tarih	Uzun Savaşlardan Diplomasiye	Zitvatorok ve Bucaş Antlaşmaları	1606 Zitvatorok Antlaşması'nın Osmanlı Devleti açısından en önemli sonucu aşağıdakilerden hangisidir?	Avusturya'nın Osmanlı'ya bağlanması	Avusturya arşidükünün Osmanlı padişahına denk kabul edilmesi	Macaristan'ın tamamen Osmanlı topraklarına katılması	Rusya'nın Karadeniz'e inmesi	Fransa'ya kapitülasyon verilmesi	b	Zitvatorok Antlaşması ile Avusturya arşidükü Osmanlı padişahına denk kabul edilmiş, Osmanlı Devleti Avrupa diplomasisinde prestij kaybetmiştir.	orta
Tarih	Uzun Savaşlardan Diplomasiye	Zitvatorok ve Bucaş Antlaşmaları	Bucaş Antlaşması ile Osmanlı Devleti'nin hâkimiyetine giren bölge aşağıdakilerden hangisidir?	Kırım	Podolya	Mora	Azak	Erdel	b	1672 Bucaş Antlaşması ile Podolya Osmanlı Devleti'nin hâkimiyetine girmiştir.	kolay
Tarih	Uzun Savaşlardan Diplomasiye	Zitvatorok ve Bucaş Antlaşmaları	Bucaş Antlaşması'nın Osmanlı tarihi açısından önemi aşağıdakilerden hangisidir?	Osmanlı'nın Avrupa'da ilk kez toprak kaybetmesi	Batıda toprak kazandığı son antlaşma olması	Rusya'ya Boğazlardan geçiş hakkı vermesi	Avusturya karşısında siyasi üstünlüğünü kaybetmesi	Kırım'ın bağımsız olması	b	Bucaş Antlaşması, Osmanlı Devleti'nin batıda toprak kazandığı son antlaşmadır.	orta
Tarih	Uzun Savaşlardan Diplomasiye	Karlofça ve 1700 İstanbul Antlaşması	1699 Karlofça Antlaşması'nın Osmanlı Devleti açısından en önemli sonucu aşağıdakilerden hangisidir?	İlk kez geniş çaplı toprak kaybetmesi	İstanbul'un fethedilmesi	Avrupa'da yeniden üstünlük kurması	Kırım'ı geri alması	Anadolu Türk birliğini sağlaması	a	Karlofça Antlaşması ile Osmanlı Devleti Avrupa'da ilk büyük toprak kaybını yaşamış ve savunma dönemine girmiştir.	kolay
Tarih	Uzun Savaşlardan Diplomasiye	Karlofça ve 1700 İstanbul Antlaşması	Karlofça Antlaşması ile Mora aşağıdaki devletlerden hangisine bırakılmıştır?	Rusya	Avusturya	Lehistan	Venedik	Fransa	d	Karlofça Antlaşması ile Mora Venedik'e bırakılmıştır.	orta
Tarih	Uzun Savaşlardan Diplomasiye	Karlofça ve 1700 İstanbul Antlaşması	1700 İstanbul Antlaşması ile Osmanlı Devleti'nin Rusya'ya bıraktığı yer aşağıdakilerden hangisidir?	Belgrad	Azak Kalesi	Podolya	Kırım	Mora	b	1700 İstanbul Antlaşması ile Azak Kalesi Rusya'ya bırakılmıştır.	kolay
Tarih	Okyanusların Önem Kazanması	Coğrafi Keşifler ve Kadırgadan Kalyona Geçiş	Coğrafi Keşiflerin Osmanlı Devleti üzerindeki en önemli ekonomik etkisi aşağıdakilerden hangisidir?	İpek ve Baharat yollarının yeniden canlanması	Gümrük ve liman gelirlerinin azalması	Tarım üretiminin artması	Avrupa'daki toprakların genişlemesi	Tımar sisteminin güçlenmesi	b	Ticaret yollarının Atlas Okyanusu kıyılarına kayması, Osmanlı'nın İpek ve Baharat yollarından elde ettiği gümrük ve liman gelirlerini azaltmıştır.	orta
Tarih	Okyanusların Önem Kazanması	Coğrafi Keşifler ve Kadırgadan Kalyona Geçiş	Deniz savaşlarının okyanuslara taşınmasıyla Osmanlı Devleti'nin kullanmaya yöneldiği yelkenli ve çok toplu savaş gemisi aşağıdakilerden hangisidir?	Kadırga	Kalyon	Şayka	Firkateyn	Çektiri	b	Kalyonlar, açık deniz ve okyanus şartlarında kadırgalara göre daha dayanıklı ve daha fazla top taşıyabilen yelkenli savaş gemileridir.	kolay
Tarih	Okyanusların Önem Kazanması	Coğrafi Keşifler ve Kadırgadan Kalyona Geçiş	Aşağıdakilerden hangisi Coğrafi Keşiflerin sonuçlarından biri değildir?	Akdeniz limanlarının önem kaybetmesi	Atlas Okyanusu kıyısındaki limanların gelişmesi	Avrupa'nın ekonomik olarak güçlenmesi	İpek Yolu'nun eski önemine kavuşması	Osmanlı ekonomisinin olumsuz etkilenmesi	d	Coğrafi Keşiflerden sonra İpek Yolu eski önemini kazanmadı; aksine yeni deniz yolları nedeniyle önem kaybetti.	orta
Tarih	Fetihlerden Savunmaya	Prut ve Pasarofça Antlaşmaları	1711 Prut Antlaşması Osmanlı Devleti ile aşağıdaki devletlerden hangisi arasında imzalanmıştır?	Avusturya	Rusya	Lehistan	Venedik	İran	b	Prut Antlaşması, Osmanlı Devleti ile Rusya arasında imzalanmıştır.	kolay
Tarih	Fetihlerden Savunmaya	Prut ve Pasarofça Antlaşmaları	1718 Pasarofça Antlaşması'nın Osmanlı Devleti açısından en önemli sonucu aşağıdakilerden hangisidir?	Avrupa karşısında fetih siyasetine yeniden dönmesi	Savunma ve ıslahat siyasetine yönelmesi	Halifeliğin Osmanlılara geçmesi	Kırım'ın geri alınması	İstanbul'un fethedilmesi	b	Pasarofça Antlaşması sonrasında Osmanlı Devleti Avrupa karşısında fetih politikasını büyük ölçüde bırakmış, savunma ve ıslahat anlayışına yönelmiştir.	orta
Tarih	Fetihlerden Savunmaya	Prut ve Pasarofça Antlaşmaları	Pasarofça Antlaşması ile Osmanlı Devleti'nin Avusturya'ya bıraktığı önemli şehir aşağıdakilerden hangisidir?	Edirne	Bursa	Belgrad	İznik	Konya	c	1718 Pasarofça Antlaşması ile Belgrad ve çevresi Avusturya'ya bırakılmıştır.	kolay
Tarih	Fetihlerden Savunmaya	Belgrad ve Küçük Kaynarca Antlaşmaları	1739 Belgrad Antlaşması ile aşağıdaki yerlerden hangisi yeniden Osmanlı Devleti'ne katılmıştır?	Azak	Belgrad	Kırım	Podolya	Mora	b	1739 Belgrad Antlaşması ile Belgrad ve Semendire yeniden Osmanlı topraklarına katılmıştır.	kolay
Tarih	Fetihlerden Savunmaya	Belgrad ve Küçük Kaynarca Antlaşmaları	Küçük Kaynarca Antlaşması ile bağımsız hâle getirilen ve daha sonra Rusya tarafından işgal edilen bölge aşağıdakilerden hangisidir?	Kırım	Mora	Girit	Podolya	Erdel	a	Küçük Kaynarca Antlaşması ile Kırım bağımsız hâle getirildi; bu durum Rusya'nın Kırım üzerinde etkili olmasını kolaylaştırdı.	kolay
Tarih	Fetihlerden Savunmaya	Belgrad ve Küçük Kaynarca Antlaşmaları	Küçük Kaynarca Antlaşması'nın Rusya açısından en önemli sonuçlarından biri aşağıdakilerden hangisidir?	Akdeniz'deki tüm adaları ele geçirmesi	Karadeniz'de güç kazanması	İstanbul'u işgal etmesi	Osmanlı halifesini tanıması	Avusturya'yı yenmesi	b	Küçük Kaynarca Antlaşması ile Rusya Karadeniz'de güç kazanmış ve Osmanlı Devleti'nin iç işlerine karışma fırsatı elde etmiştir.	orta
Tarih	Avrupa'da Değişim Çağı	Rönesans, Reform ve Vestfalya	Rönesans hareketleri ilk olarak aşağıdaki ülkelerden hangisinde başlamıştır?	İspanya	İtalya	Fransa	İngiltere	Almanya	b	Rönesans, şehirleşme ve ticaretin geliştiği İtalya'da başlamıştır.	kolay
Tarih	Avrupa'da Değişim Çağı	Rönesans, Reform ve Vestfalya	Reform hareketlerinin Avrupa'daki en belirgin sonucu aşağıdakilerden hangisidir?	Katolik Kilisesi'nin otoritesinin zayıflaması	Feodalitenin yeniden güçlenmesi	Haçlı Seferlerinin başlaması	İpek Yolu'nun canlanması	Mutlak monarşilerin tamamen ortadan kalkması	a	Reform hareketleri Katolik Kilisesi'nin dinî ve siyasi otoritesini zayıflatmıştır.	orta
Tarih	Avrupa'da Değişim Çağı	Rönesans, Reform ve Vestfalya	1648 Vestfalya Antlaşması'nın Avrupa tarihi açısından önemi aşağıdakilerden hangisidir?	Fransız İhtilali'ni başlatması	Coğrafi Keşifleri bitirmesi	Din savaşlarını sona erdirip modern devletler hukukuna zemin hazırlaması	Osmanlı Devleti'ni Avrupa'nın en güçlü devleti yapması	Amerika'nın keşfedilmesini sağlaması	c	Vestfalya Antlaşması, Avrupa'daki din savaşlarını sona erdirmiş ve modern devletler hukukuyla ulus devlet anlayışının gelişmesine katkı sağlamıştır.	orta
Tarih	Avrupa'da Değişim Çağı	Bilim Devrimi ve Aydınlanma	Güneş merkezli evren modelini savunarak Bilim Devrimi'ne katkı sağlayan bilim insanı aşağıdakilerden hangisidir?	Newton	Kopernik	Rousseau	Voltaire	Montesquieu	b	Kopernik, Dünya'nın ve diğer gezegenlerin Güneş etrafında döndüğünü savunmuştur.	kolay
Tarih	Avrupa'da Değişim Çağı	Bilim Devrimi ve Aydınlanma	Evrensel çekim kanununu ortaya koyan bilim insanı aşağıdakilerden hangisidir?	Galileo	Kepler	Newton	Descartes	Voltaire	c	Isaac Newton evrensel çekim kanununu ortaya koymuş, modern fiziğin gelişmesinde etkili olmuştur.	kolay
Tarih	Avrupa'da Değişim Çağı	Bilim Devrimi ve Aydınlanma	Toplum Sözleşmesi adlı eseriyle halk egemenliği düşüncesini savunan düşünür aşağıdakilerden hangisidir?	Rousseau	Machiavelli	Galileo	Kepler	Kopernik	a	Rousseau, egemenliğin halka ait olduğunu savunmuş; fikirleri Fransız İhtilali üzerinde etkili olmuştur.	orta
Tarih	Avrupa'da Değişim Çağı	Bilim Devrimi ve Aydınlanma	Aydınlanma Çağı'nın temel anlayışı aşağıdakilerden hangisidir?	Akıl ve bilimi esas almak	Din adamlarının otoritesini artırmak	Skolastik düşünceyi güçlendirmek	Feodaliteyi korumak	Mutlak monarşiyi yaymak	a	Aydınlanma düşüncesinde akıl, bilim, özgürlük ve eşitlik kavramları öne çıkmıştır.	orta
Tarih	Osmanlı Devleti'nde Değişim	Ekonomik Sarsıntı ve İltizam Sistemi	Osmanlı Devleti'nin vergi toplama hakkını belirli bir bedel karşılığında kişilere devretmesine dayanan sistem aşağıdakilerden hangisidir?	Tımar	İltizam	Devşirme	Müsadere	Narh	b	İltizam sisteminde devlet, belirli bir vergi kaynağını toplama hakkını açık artırma yoluyla mültezimlere verirdi.	kolay
Tarih	Osmanlı Devleti'nde Değişim	Ekonomik Sarsıntı ve İltizam Sistemi	İltizam sisteminde vergi toplama hakkını devletten alan kişiye ne ad verilir?	Mültezim	Reaya	Tımarlı sipahi	Kadıköyü	Ayan	a	Vergi toplama hakkını devletten alan ve belirlenen bedeli peşin ödeyen kişiye mültezim denirdi.	kolay
Tarih	Osmanlı Devleti'nde Değişim	Ekonomik Sarsıntı ve İltizam Sistemi	İltizam sisteminde vergi toplama hakkının ömür boyu verilmesine dayanan uygulama aşağıdakilerden hangisidir?	Malikâne	Müsadere	Dirlik	Gedik	Narh	a	Malikâne sistemi, vergi kaynaklarının ömür boyu işletilmek üzere kişilere verilmesidir.	orta
Tarih	Osmanlı Devleti'nde Değişim	Ekonomik Sarsıntı ve İltizam Sistemi	İltizam ve malikâne uygulamalarının yaygınlaşmasıyla taşrada güç kazanan yerel kişiler aşağıdakilerden hangisidir?	Ayanlar	Devşirmeler	Yeniçeriler	Kadılar	Şehzadeler	a	Vergi kaynaklarını ve yerel gücü kontrol eden ayanlar, iltizam ve malikâne sistemleriyle taşrada daha etkili hâle gelmiştir.	orta
Tarih	İsyanlar ve Düzeni Koruma	Celâli ve Yeniçeri İsyanları	Celâli İsyanları Osmanlı Devleti'nde ağırlıklı olarak hangi bölgede ortaya çıkmıştır?	Rumeli	Anadolu	Kırım	Mısır	Arabistan	b	Celâli İsyanları, özellikle Anadolu'da görülen sosyal ve ekonomik temelli ayaklanmalardır.	kolay
Tarih	İsyanlar ve Düzeni Koruma	Celâli ve Yeniçeri İsyanları	Aşağıdakilerden hangisi Celâli İsyanlarının nedenlerinden biri değildir?	Ağır ve keyfî vergiler	Hızlı nüfus artışı ve kaynak yetersizliği	İşsizliğin artması	Devlet otoritesinin zayıflaması	Coğrafi Keşifler sonucu Amerika'nın bulunması	e	Celâli İsyanlarında ağır vergiler, işsizlik, kaynak yetersizliği ve otorite zayıflığı etkili olmuştur. Amerika'nın bulunması doğrudan bir neden değildir.	orta
Tarih	İsyanlar ve Düzeni Koruma	Celâli ve Yeniçeri İsyanları	Celâli İsyanları sonucunda Anadolu halkının güvenli bölgelere göç etmesine verilen ad aşağıdakilerden hangisidir?	Büyük Kaçgun	Kavimler Göçü	Hicret	Sürgün	İskân	a	Celâli İsyanlarıyla birlikte Anadolu'da güvenlik bozulmuş, halkın göç hareketi Büyük Kaçgun olarak adlandırılmıştır.	orta
Tarih	İsyanlar ve Düzeni Koruma	Celâli ve Yeniçeri İsyanları	Yeniçeri İsyanlarının Osmanlı Devleti üzerindeki en önemli etkilerinden biri aşağıdakilerden hangisidir?	Merkezî otoritenin güçlenmesi	Padişahların ve devlet adamlarının baskı altına alınması	Tımar sisteminin yaygınlaşması	Avrupa'daki toprakların genişlemesi	Halifeliğin Osmanlılara geçmesi	b	Yeniçeri isyanları, merkezî otoriteyi zayıflatmış; padişah ve devlet adamları üzerinde baskı kurulmasına yol açmıştır.	orta
Tarih	İsyanlar ve Düzeni Koruma	Celâli ve Yeniçeri İsyanları	Yeniçeriler tarafından öldürülen Osmanlı padişahı aşağıdakilerden hangisidir?	II. Osman	III. Selim	II. Mahmut	I. Ahmet	IV. Murat	a	Genç Osman olarak da bilinen II. Osman, Yeniçeri İsyanı sırasında öldürülmüştür.	kolay
Tarih	İsyanlar ve Düzeni Koruma	Ekber ve Erşed Sistemi ile Lale Devri	Ekber ve Erşed Sistemi'ne göre Osmanlı tahtına kimin geçmesi esastır?	Hanedanın en yaşlı ve en olgun üyesinin	Padişahın en büyük oğlunun	Divan üyelerinin seçtiği kişinin	Yeniçeri ağasının belirlediği şehzadenin	Halkın oyuyla seçilen kişinin	a	Ekber ve Erşed Sistemi, hanedanın en yaşlı ve en olgun üyesinin tahta geçmesini esas alır.	kolay
Tarih	İsyanlar ve Düzeni Koruma	Ekber ve Erşed Sistemi ile Lale Devri	Ekber ve Erşed Sistemi'nin kabul edilmesindeki temel amaç aşağıdakilerden hangisidir?	Devşirme sistemini yaygınlaştırmak	Taht kavgalarını azaltmak	Tımar sistemini kaldırmak	Halifeliği güçlendirmek	Avrupa'da fetihlere yeniden başlamak	b	Sistem, hanedan içindeki taht mücadelelerini ve kardeş katli uygulamasını azaltmayı amaçlamıştır.	orta
Tarih	İsyanlar ve Düzeni Koruma	Ekber ve Erşed Sistemi ile Lale Devri	Lale Devri hangi antlaşmadan sonra başlamıştır?	Karlofça	Prut	Pasarofça	Belgrad	Küçük Kaynarca	c	Lale Devri, 1718 Pasarofça Antlaşması'ndan sonra başlamıştır.	kolay
Tarih	İsyanlar ve Düzeni Koruma	Ekber ve Erşed Sistemi ile Lale Devri	Lale Devri'nde ilk Türk matbaasını kuran kişi aşağıdakilerden hangisidir?	İbrahim Müteferrika	Katip Çelebi	Evliya Çelebi	Yirmisekiz Çelebi Mehmet Efendi	Koçi Bey	a	İbrahim Müteferrika, Lale Devri'nde ilk Türk matbaasını kurmuştur.	kolay
Tarih	İsyanlar ve Düzeni Koruma	Ekber ve Erşed Sistemi ile Lale Devri	Lale Devri'nin sona ermesine yol açan isyan aşağıdakilerden hangisidir?	Kabakçı Mustafa İsyanı	Patrona Halil İsyanı	Celâli İsyanları	31 Mart Olayı	Alemdar Olayı	b	Lale Devri, 1730 yılında Patrona Halil İsyanı ile sona ermiştir.	orta
Tarih	İhtilaller Çağı	1789 Fransız İhtilali	1789 Fransız İhtilali sonucunda Fransa'da sona eren yönetim biçimi aşağıdakilerden hangisidir?	Mutlak monarşi	Cumhuriyet	Meşrutiyet	Federasyon	Oligarşi	a	Fransız İhtilali ile Fransa'da mutlak monarşi yıkılmış ve cumhuriyet anlayışı güç kazanmıştır.	kolay
Tarih	İhtilaller Çağı	1789 Fransız İhtilali	Aşağıdakilerden hangisi Fransız İhtilali'nin yaydığı temel düşüncelerden biri değildir?	Özgürlük	Eşitlik	Milliyetçilik	Demokrasi	Skolastik düşünce	e	Fransız İhtilali özgürlük, eşitlik, milliyetçilik ve demokrasi fikirlerini yaymıştır; skolastik düşünceyi savunmamıştır.	orta
Tarih	İhtilaller Çağı	1789 Fransız İhtilali	Fransız İhtilali'nin milliyetçilik akımı yoluyla en fazla etkilediği siyasi yapılar aşağıdakilerden hangisidir?	Şehir devletleri	Çok uluslu imparatorluklar	Tek uluslu krallıklar	Ticaret şirketleri	Denizci devletler	b	Milliyetçilik akımı, farklı milletleri bünyesinde barındıran çok uluslu imparatorluklarda ayrılıkçı hareketleri güçlendirmiştir.	orta
Tarih	İhtilaller Çağı	1789 Fransız İhtilali	Fransız İhtilali'nin Osmanlı Devleti üzerindeki en önemli etkisi aşağıdakilerden hangisidir?	Azınlık isyanlarının artması	Halifeliğin kaldırılması	İstanbul'un fethedilmesi	Tımar sisteminin kurulması	Devşirme sisteminin başlaması	a	Milliyetçilik fikrinin yayılması, Osmanlı Devleti'ndeki Sırp ve Yunan isyanları gibi azınlık hareketlerini etkilemiştir.	zor
Tarih	Osmanlı Devleti'nde Modern Orduya Geçiş	Nizam-ı Cedit Ordusu	III. Selim döneminde Avrupa tarzında kurulan yeni askerî birlik aşağıdakilerden hangisidir?	Nizam-ı Cedit	Asakir-i Mansure	Yeniçeri Ocağı	Redif birlikleri	Tımarlı sipahiler	a	Nizam-ı Cedit, III. Selim döneminde Batı tarzında eğitim ve talim yapan yeni askerî birliktir.	kolay
Tarih	Osmanlı Devleti'nde Modern Orduya Geçiş	Nizam-ı Cedit Ordusu	Nizam-ı Cedit ordusunun giderlerini karşılamak amacıyla oluşturulan hazine aşağıdakilerden hangisidir?	İrad-ı Cedit	Hazine-i Hassa	Düyûn-ı Umûmiye	Mukataa Hazinesi	Cebehane Hazinesi	a	Nizam-ı Cedit ordusunun masraflarını karşılamak için İrad-ı Cedit adı verilen özel hazine kurulmuştur.	orta
Tarih	Osmanlı Devleti'nde Modern Orduya Geçiş	Nizam-ı Cedit Ordusu	Nizam-ı Cedit ordusunun dağıtılmasına ve III. Selim'in tahttan indirilmesine yol açan gelişme aşağıdakilerden hangisidir?	Patrona Halil İsyanı	Kabakçı Mustafa İsyanı	Celâli İsyanları	31 Mart Olayı	Vaka-i Hayriye	b	1807 Kabakçı Mustafa İsyanı sonrasında III. Selim tahttan indirilmiş, Nizam-ı Cedit ordusu dağıtılmıştır.	orta
Tarih	Osmanlı Devleti'nde Modern Orduya Geçiş	Nizam-ı Cedit Ordusu	Alemdar Mustafa Paşa'nın Nizam-ı Cedit örnek alınarak kurduğu askerî birlik aşağıdakilerden hangisidir?	Sekban-ı Cedit	Asakir-i Mansure	Eşkinci Ocağı	Azaplar	Yaya ve müsellemler	a	Alemdar Mustafa Paşa, Nizam-ı Cedit'i örnek alarak Sekban-ı Cedit Ocağı'nı kurmuştur.	orta
Tarih	Osmanlı Devleti'nde Modern Orduya Geçiş	Vakay-ı Hayriye ve Yeni Ordu	II. Mahmut döneminde Yeniçeri Ocağı'nın kaldırılması olayı aşağıdaki adlardan hangisiyle bilinir?	Vaka-i Vakvakiye	Vaka-i Hayriye	Kabakçı Mustafa İsyanı	Patrona Halil İsyanı	Alemdar Olayı	b	Yeniçeri Ocağı'nın 1826'da kaldırılması, Hayırlı Olay anlamındaki Vaka-i Hayriye olarak adlandırılmıştır.	kolay
Tarih	Osmanlı Devleti'nde Modern Orduya Geçiş	Vakay-ı Hayriye ve Yeni Ordu	Yeniçeri Ocağı kaldırıldıktan sonra kurulan yeni ve düzenli Osmanlı ordusu aşağıdakilerden hangisidir?	Nizam-ı Cedit	Sekban-ı Cedit	Asakir-i Mansure-i Muhammediye	Tımarlı Sipahiler	Akıncılar	c	Yeniçeri Ocağı kaldırıldıktan sonra II. Mahmut tarafından Asakir-i Mansure-i Muhammediye ordusu kurulmuştur.	kolay
Tarih	Osmanlı Devleti'nde Modern Orduya Geçiş	Vakay-ı Hayriye ve Yeni Ordu	Vaka-i Hayriye'nin Osmanlı yenileşme hareketleri açısından en önemli sonucu aşağıdakilerden hangisidir?	Merkezî otoriteyi zayıflatması	Askerî yeniliklerin önündeki büyük engellerden birini kaldırması	Tımar sistemini yeniden başlatması	Avrupa'daki toprakları genişletmesi	Halifeliği kaldırması	b	Yeniçeri Ocağı'nın kaldırılmasıyla askerî yeniliklere karşı en güçlü engellerden biri ortadan kalkmıştır.	orta
Tarih	XIX. Yüzyılda Sosyal Hayattaki Değişimler	Modern Eğitim Kurumları	II. Mahmut döneminde ortaöğretim düzeyinde açılan modern eğitim kurumları aşağıdakilerden hangisidir?	Enderunlar	Rüştiyeler	Nizamiye Medreseleri	Ahilik teşkilatları	Loncalar	b	II. Mahmut döneminde modern eğitim anlayışı doğrultusunda rüştiyeler açılmıştır.	kolay
Tarih	XIX. Yüzyılda Sosyal Hayattaki Değişimler	Modern Eğitim Kurumları	Osmanlı Devleti'nde yayımlanan ilk resmî gazete aşağıdakilerden hangisidir?	Ceride-i Havadis	Tercüman-ı Ahval	Takvim-i Vekayi	Tasvir-i Efkâr	İbret	c	Takvim-i Vekayi, 1831 yılında yayımlanan ilk resmî Osmanlı gazetesidir.	orta
Tarih	XIX. Yüzyılda Sosyal Hayattaki Değişimler	Sosyal Devlet ve Simgeler	II. Mahmut dönemindeki kıyafet düzenlemeleriyle devlet memurlarının kullanması yaygınlaştırılan başlık aşağıdakilerden hangisidir?	Sarık	Fes	Börk	Külah	Kavuk	b	II. Mahmut döneminde kıyafet düzenlemeleri yapılmış ve fes kullanımı yaygınlaştırılmıştır.	kolay
Tarih	XIX. Yüzyılda Sosyal Hayattaki Değişimler	Sosyal Devlet ve Simgeler	Salgın hastalıkların yayılmasını önlemek amacıyla oluşturulan kurum aşağıdakilerden hangisidir?	Mühendishane	Karantina teşkilatı	Enderun	Millet sistemi	Tımar sistemi	b	XIX. yüzyılda salgınlarla mücadele etmek için karantina uygulamaları ve kurumları oluşturulmuştur.	orta
Tarih	Osmanlı Devleti'ne Yönelik Tehditler-I	Sırp ve Yunan İsyanları	Milliyetçilik akımının etkisiyle başlayan Yunan İsyanı sonucunda Yunanistan'ın bağımsızlığı hangi antlaşmayla kabul edilmiştir?	Edirne Antlaşması	Karlofça Antlaşması	Küçük Kaynarca Antlaşması	Paris Antlaşması	Berlin Antlaşması	a	1829 Edirne Antlaşması ile Yunanistan bağımsızlığını kazanmıştır.	kolay
Tarih	Osmanlı Devleti'ne Yönelik Tehditler-I	Sırp ve Yunan İsyanları	II. Mahmut'un Mora İsyanı sırasında yardım istemesi, aşağıdaki kişilerden hangisinin güç kazanmasına ortam hazırlamıştır?	Kavalalı Mehmet Ali Paşa	Âlemdar Mustafa Paşa	Mithat Paşa	Fuad Paşa	Keçecizade Fuat Paşa	a	II. Mahmut'un Mora İsyanı sırasında Mehmet Ali Paşa'dan yardım istemesi, onun Mısır'daki gücünü ve etkisini artırmıştır.	orta
Tarih	Osmanlı Devleti'ne Yönelik Tehditler-II	Mehmet Ali Paşa ve Boğazlar	1833 Hünkâr İskelesi Antlaşması Osmanlı Devleti ile hangi devlet arasında imzalanmıştır?	İngiltere	Rusya	Fransa	Avusturya	İran	b	Mehmet Ali Paşa İsyanı sırasında Rusya'nın Osmanlı Devleti'ne yardım etmesinden sonra 1833 Hünkâr İskelesi Antlaşması imzalanmıştır.	kolay
